sales_id,age,country,membership_status,previous_purchases,destination,stay_length,guests,travel_month,months_before_travel,earlybird_discount,package_Type,cost,rating,margin,additional_services_cost
1,47,UK,silver,1,Sydney,3,2,7,1,False,Adventure,288.28043532360454,6,-198.07232147857115,-9.96501070341197
2,37,Italy,silver,5,Tokyo,3,2,8,4,False,Adventure,509.8706959446183,7,300.3010328402296,135.94130278041493
3,49,USA,standard,2,Sydney,2,4,7,1,False,Cultural,669.7614069730874,6,200.32963612722057,73.1488327211412
4,62,Spain,silver,2,Cape Town,6,2,1,3,True,Adventure,1168.5850261194664,7,694.7157860352005,369.3165042799433
5,36,Germany,silver,3,Paris,8,3,2,7,False,Adventure,1473.9919262892022,5,1158.133888458962,330.25164619059495
6,36,UK,standard,3,Rome,8,3,6,1,False,Cultural,2019.1568952104726,5,1186.4577832040761,298.26149442166525
7,63,Italy,silver,4,Tokyo,0,1,6,1,False,Cultural,20.590171778886113,7,-305.5996425926419,57.94191729245876
8,51,Spain,silver,3,Tokyo,10,2,7,3,True,Adventure,2508.343087798597,5,2261.1910605081366,706.2545771934032
9,32,France,silver,4,Paris,12,2,2,1,False,Relaxation,2344.0001788918107,6,1671.3630937546993,614.0314088231269
10,48,USA,standard,3,New York,3,2,2,7,False,Adventure,497.0362505006847,5,128.41468349373525,26.7830111642825
11,33,Germany,silver,1,Rio,10,3,8,7,False,Relaxation,2567.6388842085375,5,2070.277635849245,657.0894258298839
12,33,Australia,standard,3,Tokyo,3,3,7,5,True,Adventure,868.0172513396044,7,623.4862210161323,230.50668374562903
13,43,France,silver,3,Cairo,6,4,7,2,False,Adventure,1403.7746720063294,6,1246.0548604614091,289.08081086964796
14,18,UK,silver,1,Sydney,14,2,6,2,False,Cultural,3258.9670310981933,5,2867.2456647369827,584.3530932318506
15,18,Australia,silver,3,Cape Town,4,1,7,1,False,Adventure,1164.91853782491,4,728.6642134958302,266.2715708608013
16,31,Canada,standard,2,Sydney,12,4,1,4,False,Relaxation,2334.2693563922385,7,1765.366219686839,785.8736805075749
17,24,France,silver,0,New York,1,4,7,1,True,Cultural,332.25683212385366,6,194.90899709718482,-18.133042652192678
18,44,Italy,gold,3,Sydney,3,3,2,5,True,Adventure,666.6150134842526,8,115.27150942020955,158.78349494087357
19,26,France,standard,2,Sydney,6,3,12,1,True,Cultural,1119.9453659912738,5,709.1303048689308,147.25329503175638
20,18,Italy,gold,7,Rio,0,4,12,8,True,Cultural,-425.8876247494259,6,-817.9788753864889,-44.91549247873465
21,61,Germany,silver,2,Sydney,10,2,6,5,False,Relaxation,2164.57165296486,6,1607.6569483452104,459.8685147984117
