,sales_id,age,country,membership_status,previous_purchases,destination,stay_length,guests,travel_month,months_before_travel,earlybird_discount,package_Type,cost,rating,margin,additional_services_cost
0,1,47,UK,silver,1,Sydney,4,2,7,1,False,Adventure,1706.0934784412011,6,1219.7407216390257,291.06104340524985
1,2,37,Italy,silver,5,Tokyo,4,2,8,4,False,Adventure,281233.18998641655,7,1570.3872355438173,405.5164462833453
2,3,49,USA,standard,2,Sydney,3,4,7,1,False,Cultural,2829.920468991029,6,2360.488698145162,285.3641910921893
3,4,62,Spain,silver,2,Cape Town,7,2,1,3,True,Adventure,2789.5283420398223,7,2315.6591019555563,747.5334640749181
4,5,36,Germany,silver,3,Paris,9,3,2,7,False,Adventure,5357.997308763067,5,5042.139270932827,1117.0925522644395
5,6,36,UK,standard,3,Rome,9,3,6,1,False,Cultural,6829.385631736824,5,5559.392998228032,1271.7038448242083
6,7,63,Italy,silver,4,Tokyo,1,1,6,1,False,Cultural,37424.415713687995,7,-89.32642377856595,81.53199413208968
7,8,51,Spain,silver,3,Tokyo,11,2,7,3,True,Adventure,810452.7359573926,5,4882.295668642405,1509.5846957063632
8,9,32,France,silver,4,Paris,13,2,2,1,False,Relaxation,5181.333392963937,6,4508.696307826825,1259.7056740097212
9,10,48,USA,standard,3,New York,4,2,2,7,False,Adventure,1565.6787501668948,5,1197.0571831599457,284.7678455675969
10,11,33,Germany,silver,1,Rio,11,3,8,7,False,Relaxation,7679.212961402845,5,7181.851713043553,2003.655506423272
11,12,33,Australia,standard,3,Tokyo,4,3,7,5,True,Adventure,445455.5752372192,7,2574.8080534563965,738.0059238013188
12,13,43,France,silver,3,Cairo,7,4,7,2,False,Adventure,6447.924890668776,6,5257.8934425585485,1675.6469008739102
13,14,18,UK,silver,1,Sydney,15,2,6,2,False,Cultural,6912.989010366064,5,6521.267644004853,1295.2835873878737
14,15,18,Australia,silver,3,Cape Town,5,1,7,1,False,Adventure,1231.6395126083032,4,795.3851882792235,281.8499648938553
15,16,31,Canada,standard,2,Sydney,13,4,1,4,False,Relaxation,10378.08978546408,7,9809.18664875868,3373.030522445963
16,17,24,France,silver,0,New York,2,4,7,1,True,Cultural,1874.085610707951,6,1736.737775681282,165.12184172147357
17,18,44,Italy,gold,3,Sydney,4,3,2,5,True,Adventure,2422.205004494751,8,1870.861500430708,627.7357821318594
18,19,26,France,standard,2,Sydney,7,3,12,1,True,Cultural,4743.315121997091,5,4332.500060874749,634.082292305981
19,20,18,Italy,gold,7,Rio,1,4,12,8,True,Cultural,778.037458416858,6,385.9462077797951,195.61543355885956
20,21,61,Germany,silver,2,Sydney,11,2,6,5,False,Relaxation,5014.857217654953,6,4457.942513035304,1190.284166701742
21,22,36,Germany,silver,4,New York,6,3,12,2,True,Cultural,4116.223432792806,7,3821.694064478135,625.640333211992
22,23,41,UK,standard,1,Paris,10,3,12,2,True,Relaxation,6942.706896859132,5,6407.170346361957,1874.6103165761904
23,24,18,France,standard,3,Cairo,14,4,12,1,True,Cultural,12840.424503120905,5,11098.996791945918,2610.8646848983703
24,25,31,Germany,gold,6,Sydney,2,1,2,4,True,Cultural,380.8350379172329,6,-139.33040781526228,3.032331494969185
25,26,41,Canada,standard,0,New York,13,2,7,7,False,Relaxation,5884.788945605419,5,5537.578838311351,1377.2792010197695
26,27,22,Italy,standard,1,Cape Town,6,1,8,9,True,Cultural,1380.0921627967437,5,833.214204391973,33.98716468304451
27,28,45,Spain,silver,4,Tokyo,19,3,2,11,True,Relaxation,1796515.548384485,6,11144.046960411391,3772.007334508219
28,29,30,Spain,standard,3,Paris,8,1,8,9,False,Relaxation,1777.3284842637693,7,1229.2815300429909,448.60515980251336
